,Ayasofya,Süleymaniye,Çengelköy,Bebek,Aşiyan,Rumeli Hisarı,Anadolu Hisarı,Kız Kulesi,Ortaköy,Galata Kulesi,Eminönü,Levent,Kadıköy,Beşiktaş,İstanbul Arkeoloji Müzeleri,Topkapı Sarayı Müzesi,Dolmabahçe Sarayı
Ayasofya,0.0,1.38,8.57,10.05,9.89,11.17,8.63,2.87,6.83,1.91,0.12,8.76,4.65,4.54,0.5,0.63,3.98
Süleymaniye,1.38,0.0,8.92,9.86,9.76,11.11,8.68,3.51,7.02,1.28,1.29,8.38,5.98,4.59,1.39,1.68,3.98
Çengelköy,8.57,8.92,0.0,3.94,3.41,3.79,1.92,5.72,2.08,7.74,8.5,4.61,7.56,4.43,8.1,7.95,5.03
Bebek,10.05,9.86,3.94,0.0,0.55,1.62,2.14,7.64,3.8,8.58,9.95,1.86,10.65,5.56,9.55,9.52,6.08
Aşiyan,9.89,9.76,3.41,0.55,0.0,1.43,1.67,7.38,3.44,8.48,9.79,2.13,10.27,5.36,9.38,9.33,5.91
Rumeli Hisarı,11.17,11.11,3.79,1.62,1.43,0.0,2.61,8.56,4.49,9.83,11.07,3.48,11.16,6.63,10.67,10.59,7.2
Anadolu Hisarı,8.63,8.68,1.92,2.14,1.67,2.61,0.0,5.97,1.88,7.42,8.54,2.73,8.63,4.11,8.13,8.04,4.71
Kız Kulesi,2.87,3.51,5.72,7.64,7.38,8.56,5.97,0.0,4.11,2.65,2.81,6.66,3.88,2.17,2.43,2.24,1.86
Ortaköy,6.83,7.02,2.08,3.8,3.44,4.49,1.88,4.11,0.0,5.79,6.75,3.55,6.84,2.43,6.34,6.23,3.04
Galata Kulesi,1.91,1.28,7.74,8.58,8.48,9.83,7.42,2.65,5.79,0.0,1.79,7.12,5.85,3.35,1.56,1.75,2.74
Eminönü,0.12,1.29,8.5,9.95,9.79,11.07,8.54,2.81,6.75,1.79,0.0,8.65,4.71,4.44,0.41,0.58,3.88
Levent,8.76,8.38,4.61,1.86,2.13,3.48,2.73,6.66,3.55,7.12,8.65,0.0,10.09,4.49,8.27,8.27,4.9
Kadıköy,4.65,5.98,7.56,10.65,10.27,11.16,8.63,3.88,6.84,5.85,4.71,10.09,0.0,5.82,4.6,4.32,5.68
Beşiktaş,4.54,4.59,4.43,5.56,5.36,6.63,4.11,2.17,2.43,3.35,4.44,4.49,5.82,0.0,4.04,3.97,0.61
İstanbul Arkeoloji Müzeleri,0.5,1.39,8.1,9.55,9.38,10.67,8.13,2.43,6.34,1.56,0.41,8.27,4.6,4.04,0.0,0.29,3.48
Topkapı Sarayı Müzesi,0.63,1.68,7.95,9.52,9.33,10.59,8.04,2.24,6.23,1.75,0.58,8.27,4.32,3.97,0.29,0.0,3.43
Dolmabahçe Sarayı,3.98,3.98,5.03,6.08,5.91,7.2,4.71,1.86,3.04,2.74,3.88,4.9,5.68,0.61,3.48,3.43,0.0
