,Sultanahmet Camii,Topkapı Sarayı,Ayasofya Müzesi,Kapalıçarşı,Galata Kulesi,İstiklal Caddesi,Taksim Meydanı,Dolmabahçe Sarayı,Yerebatan Sarnıcı,Pierre Loti Tepesi,Rahmi Koç Müzesi,Miniatürk,Emirgan Korusu,Rumeli Hisarı,Kız Kulesi,Beylerbeyi Sarayı,Çamlıca Tepesi,Adalar,Kadıköy,Moda Sahil Parkı
Sultanahmet Camii,0.0,531.0,448.0,873.0,2241.0,2887.0,3577.0,4225.0,345.0,6185.0,4645.0,6502.0,12954.0,11024.0,2877.0,6907.0,8839.0,18853.0,4205.0,5074.0
Topkapı Sarayı,531.0,0.0,118.0,1091.0,1983.0,2578.0,3168.0,3735.0,387.0,6125.0,4574.0,6346.0,12453.0,10507.0,2347.0,6379.0,8369.0,18867.0,4118.0,4966.0
Ayasofya Müzesi,448.0,118.0,0.0,976.0,1950.0,2561.0,3184.0,3787.0,269.0,6056.0,4505.0,6296.0,12513.0,10577.0,2443.0,6475.0,8485.0,18940.0,4204.0,5056.0
Kapalıçarşı,873.0,1091.0,976.0,0.0,1729.0,2410.0,3267.0,4130.0,717.0,5362.0,3836.0,5749.0,12837.0,11010.0,3182.0,7163.0,9380.0,19714.0,5077.0,5944.0
Galata Kulesi,2241.0,1983.0,1950.0,1729.0,0.0,681.0,1605.0,2659.0,1901.0,4292.0,2762.0,4391.0,11217.0,9491.0,2547.0,6073.0,8799.0,20736.0,5935.0,6737.0
İstiklal Caddesi,2887.0,2578.0,2561.0,2410.0,681.0,0.0,1012.0,2183.0,2543.0,4002.0,2547.0,3939.0,10588.0,8912.0,2585.0,5729.0,8652.0,21162.0,6369.0,7139.0
Taksim Meydanı,3577.0,3168.0,3184.0,3267.0,1605.0,1012.0,0.0,1225.0,3239.0,4406.0,3135.0,4065.0,9612.0,7904.0,2306.0,4826.0,7926.0,21212.0,6519.0,7218.0
Dolmabahçe Sarayı,4225.0,3735.0,3787.0,4130.0,2659.0,2183.0,1225.0,0.0,3916.0,5456.0,4300.0,4938.0,8736.0,6883.0,2010.0,3606.0,6800.0,20803.0,6370.0,6963.0
Yerebatan Sarnıcı,345.0,387.0,269.0,717.0,1901.0,2543.0,3239.0,3916.0,0.0,5903.0,4357.0,6188.0,12651.0,10742.0,2669.0,6697.0,8748.0,19108.0,4406.0,5265.0
Pierre Loti Tepesi,6185.0,6125.0,6056.0,5362.0,4292.0,4002.0,4406.0,5456.0,5903.0,0.0,1551.0,1184.0,11464.0,10501.0,6563.0,8904.0,12253.0,24989.0,10205.0,11022.0
Rahmi Koç Müzesi,4645.0,4574.0,4505.0,3836.0,2762.0,2547.0,3135.0,4300.0,4357.0,1551.0,0.0,2022.0,11389.0,10133.0,5132.0,7878.0,11062.0,23438.0,8656.0,9477.0
Miniatürk,6502.0,6346.0,6296.0,5749.0,4391.0,3939.0,4065.0,4938.0,6188.0,1184.0,2022.0,0.0,10305.0,9416.0,6348.0,8187.0,11651.0,25099.0,10301.0,11077.0
Emirgan Korusu,12954.0,12453.0,12513.0,12837.0,11217.0,10588.0,9612.0,8736.0,12651.0,11464.0,11389.0,10305.0,0.0,2355.0,10348.0,7151.0,9282.0,26185.0,14010.0,14242.0
Rumeli Hisarı,11024.0,10507.0,10577.0,11010.0,9491.0,8912.0,7904.0,6883.0,10742.0,10501.0,10133.0,9416.0,2355.0,0.0,8292.0,4843.0,6987.0,23877.0,11744.0,11940.0
Kız Kulesi,2877.0,2347.0,2443.0,3182.0,2547.0,2585.0,2306.0,2010.0,2669.0,6563.0,5132.0,6348.0,10348.0,8292.0,0.0,4032.0,6308.0,18934.0,4368.0,4993.0
Beylerbeyi Sarayı,6907.0,6379.0,6475.0,7163.0,6073.0,5729.0,4826.0,3606.0,6697.0,8904.0,7878.0,8187.0,7151.0,4843.0,4032.0,0.0,3607.0,19638.0,6916.0,7098.0
Çamlıca Tepesi,8839.0,8369.0,8485.0,9380.0,8799.0,8652.0,7926.0,6800.0,8748.0,12253.0,11062.0,11651.0,9282.0,6987.0,6308.0,3607.0,0.0,16903.0,6924.0,6648.0
Adalar,18853.0,18867.0,18940.0,19714.0,20736.0,21162.0,21212.0,20803.0,19108.0,24989.0,23438.0,25099.0,26185.0,23877.0,18934.0,19638.0,16903.0,0.0,14802.0,14025.0
Kadıköy,4205.0,4118.0,4204.0,5077.0,5935.0,6369.0,6519.0,6370.0,4406.0,10205.0,8656.0,10301.0,14010.0,11744.0,4368.0,6916.0,6924.0,14802.0,0.0,879.0
Moda Sahil Parkı,5074.0,4966.0,5056.0,5944.0,6737.0,7139.0,7218.0,6963.0,5265.0,11022.0,9477.0,11077.0,14242.0,11940.0,4993.0,7098.0,6648.0,14025.0,879.0,0.0
