Ayasofya Müzesi,Topkapı Sarayı,Sultanahmet Camii,Kapalı Çarşı,Galata Kulesi,İstanbul Arkeoloji Müzeleri,Dolmabahçe Sarayı,İstiklal Caddesi,Taksim Meydanı,Yerebatan Sarnıcı,Süleymaniye Camii,Miniatürk,Rahmi Koç Müzesi,Pera Müzesi,İstanbul Modern Sanat Müzesi,Çırağan Sarayı,Beylerbeyi Sarayı,Pierre Loti Tepesi,Rumeli Hisarı,Anadolu Hisarı
0.00,414.40,456.18,1023.06,1960.69,459.56,3829.82,2988.32,3411.80,153.04,1861.93,6730.81,4576.25,2298.96,2382.62,5508.68,6356.16,6246.58,10320.46,10953.73
414.40,0.00,870.58,1266.70,1745.63,188.08,3423.69,2753.69,3057.92,537.06,2094.60,6641.53,4482.33,1997.34,2144.95,5095.74,5960.00,6248.64,9906.23,10541.01
456.18,870.58,0.00,912.19,2263.42,895.76,4278.96,3288.84,3816.07,359.33,1689.64,6858.02,4720.95,2666.97,2695.08,5963.39,6794.43,6277.34,10776.51,11408.32
1023.06,1266.70,912.19,0.00,1764.28,1142.85,4231.83,2717.48,3520.58,881.07,840.17,5999.81,3887.23,2304.55,2182.31,6108.80,7100.38,5371.78,10800.37,11377.22
1960.69,1745.63,2263.42,1764.28,0.00,1575.82,2729.86,1028.94,1803.85,1950.48,2073.16,4974.97,2833.43,611.38,433.11,4769.83,5973.47,4774.34,9237.59,9761.32
459.56,188.08,895.76,1142.85,1575.82,0.00,3384.27,2591.65,2954.55,538.53,1955.40,6455.94,4296.68,1860.11,1982.67,5110.64,6014.96,6060.97,9897.61,10520.54
3829.82,3423.69,4278.96,4231.83,2729.86,3384.27,0.00,2532.34,1244.52,3922.81,4752.75,6179.23,4470.57,2126.27,2521.90,2084.25,3437.82,6586.05,6569.09,7153.78
2988.32,2753.69,3288.84,2717.48,1028.94,2591.65,2532.34,0.00,1325.19,2979.33,2832.52,4169.76,2132.34,896.29,609.01,4609.36,5959.63,4222.31,8733.37,9185.19
3411.80,3057.92,3816.07,3520.58,1803.85,2954.55,1244.52,1325.19,0.00,3461.78,3873.56,5023.42,3232.83,1217.83,1473.63,3296.36,4680.90,5351.49,7477.54,7973.63
153.04,537.06,359.33,881.07,1950.48,538.53,3922.81,2979.33,3461.78,0.00,1717.31,6659.16,4508.78,2324.46,2378.27,5630.01,6493.88,6147.17,10430.63,11057.29
1861.93,2094.60,1689.64,840.17,2073.16,1955.40,4752.75,2832.52,3873.56,1717.31,0.00,5522.60,3505.61,2679.13,2418.98,6721.63,7794.85,4740.64,11299.80,11833.33
6730.81,6641.53,6858.02,5999.81,4974.97,6455.94,6179.23,4169.76,5023.42,6659.16,5522.60,0.00,2159.25,5061.29,4681.51,7959.34,9444.03,1498.40,10680.29,10804.78
4576.25,4482.33,4720.95,3887.23,2833.43,4296.68,4470.57,2132.34,3232.83,4508.78,3505.61,2159.25,0.00,2989.25,2574.56,6453.99,7888.04,2119.93,9973.35,10271.54
2298.96,1997.34,2666.97,2304.55,611.38,1860.11,2126.27,896.29,1217.83,2324.46,2679.13,5061.29,2989.25,0.00,463.74,4181.85,5422.05,5036.97,8626.68,9154.24
2382.62,2144.95,2695.08,2182.31,433.11,1982.67,2521.90,609.01,1473.63,2378.27,2418.98,4681.51,2574.56,463.74,0.00,4596.65,5864.82,4594.02,8947.83,9446.92
5508.68,5095.74,5963.39,6108.80,4769.83,5110.64,2084.25,4609.36,3296.36,5630.01,6721.63,7959.34,6453.99,4181.85,4596.65,0.00,1489.39,8542.69,4880.82,5600.46
6356.16,5960.00,6794.43,7100.38,5973.47,6014.96,3437.82,5959.63,4680.90,6493.88,7794.85,9444.03,7888.04,5422.05,5864.82,1489.39,0.00,9991.23,4712.50,5556.66
6246.58,6248.64,6277.34,5371.78,4774.34,6060.97,6586.05,4222.31,5351.49,6147.17,4740.64,1498.40,2119.93,5036.97,4594.02,8542.69,9991.23,0.00,11760.57,11963.18
10320.46,9906.23,10776.51,10800.37,9237.59,9897.61,6569.09,8733.37,7477.54,10430.63,11299.80,10680.29,9973.35,8626.68,8947.83,4880.82,4712.50,11760.57,0.00,901.23
10953.73,10541.01,11408.32,11377.22,9761.32,10520.54,7153.78,9185.19,7973.63,11057.29,11833.33,10804.78,10271.54,9154.24,9446.92,5600.46,5556.66,11963.18,901.23,0.00
